t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
22.5080000000,7.5691037295,-0.5489252437,1.5890284069,-4.7225693450,1.0215329535,0.0000000000,0.8682396036,1.0215329535,-1.6317603964,0.6564478801,1.1995874932,11254.0000000000
22.5100000000,7.5722701840,-0.5583177454,1.5774376887,-4.6699520500,1.0226626420,0.0000000000,0.8719778548,1.0226626420,-1.6280221452,0.6555216695,1.2010462992,11255.0000000000
22.5120000000,7.5754135290,-0.5676051374,1.5659200330,-4.6174629225,1.0237285446,0.0000000000,0.8756965641,1.0237285446,-1.6243034359,0.6545727017,1.2025030795,11256.0000000000
22.5140000000,7.5785339174,-0.5767876950,1.5544821925,-4.5651205735,1.0247316588,0.0000000000,0.8793944025,1.0247316588,-1.6206055975,0.6536014543,1.2039570407,11257.0000000000
22.5160000000,7.5816315150,-0.5858657288,1.5431302700,-4.5129418235,1.0256729785,0.0000000000,0.8830700857,1.0256729785,-1.6169299143,0.6526083957,1.2054074119,11258.0000000000
22.5180000000,7.5847064994,-0.5948395815,1.5318697574,-4.4609418116,1.0265534920,0.0000000000,0.8867223728,1.0265534920,-1.6132776272,0.6515939850,1.2068534442,11259.0000000000
22.5200000000,7.5877590583,-0.6037096243,1.5207055716,-4.4091341009,1.0273741816,0.0000000000,0.8903500651,1.0273741816,-1.6096499349,0.6505586721,1.2082944102,11260.0000000000
22.5220000000,7.5907893888,-0.6124762542,1.5096420903,-4.3575307800,1.0281360220,0.0000000000,0.8939520050,1.0281360220,-1.6060479950,0.6495028978,1.2097296039,11261.0000000000
22.5240000000,7.5937976964,-0.6211398909,1.4986831856,-4.3061425596,1.0288399799,0.0000000000,0.8975270747,1.0288399799,-1.6024729253,0.6484270935,1.2111583400,11262.0000000000
22.5260000000,7.5967841936,-0.6297009742,1.4878322560,-4.2549788647,1.0294870130,0.0000000000,0.9010741953,1.0294870130,-1.5989258047,0.6473316816,1.2125799536,11263.0000000000
22.5280000000,7.5997490994,-0.6381599615,1.4770922577,-4.2040479234,1.0300780691,0.0000000000,0.9045923251,1.0300780691,-1.5954076749,0.6462170756,1.2139937998,11264.0000000000
22.5300000000,7.6026926383,-0.6465173258,1.4664657335,-4.1533568495,1.0306140857,0.0000000000,0.9080804590,1.0306140857,-1.5919195410,0.6450836800,1.2153992529,11265.0000000000
22.5320000000,7.6056150394,-0.6547735529,1.4559548406,-4.1029117222,1.0310959892,0.0000000000,0.9115376269,1.0310959892,-1.5884623731,0.6439318903,1.2167957066,11266.0000000000
22.5340000000,7.6085165359,-0.6629291401,1.4455613767,-4.0527176607,1.0315246949,0.0000000000,0.9149628926,1.0315246949,-1.5850371074,0.6427620935,1.2181825729,11267.0000000000
22.5360000000,7.6113973642,-0.6709845938,1.4352868052,-4.0027788948,1.0319011059,0.0000000000,0.9183553533,1.0319011059,-1.5816446467,0.6415746679,1.2195592819,11268.0000000000
22.5380000000,7.6142577632,-0.6789404281,1.4251322781,-3.9530988317,1.0322261131,0.0000000000,0.9217141374,1.0322261131,-1.5782858626,0.6403699836,1.2209252812,11269.0000000000
22.5400000000,7.6170979739,-0.6867971634,1.4150986584,-3.9036801181,1.0325005947,0.0000000000,0.9250384046,1.0325005947,-1.5749615954,0.6391484020,1.2222800357,11270.0000000000
22.5420000000,7.6199182388,-0.6945553242,1.4051865407,-3.8545246992,1.0327254162,0.0000000000,0.9283273439,1.0327254162,-1.5716726561,0.6379102767,1.2236230269,11271.0000000000
22.5440000000,7.6227188013,-0.7022154386,1.3953962706,-3.8056338739,1.0329014298,0.0000000000,0.9315801734,1.0329014298,-1.5684198266,0.6366559530,1.2249537525,11272.0000000000
22.5460000000,7.6254999052,-0.7097780365,1.3857279630,-3.7570083464,1.0330294745,0.0000000000,0.9347961385,1.0330294745,-1.5652038615,0.6353857686,1.2262717257,11273.0000000000
22.5480000000,7.6282617944,-0.7172436489,1.3761815193,-3.7086482741,1.0331103757,0.0000000000,0.9379745116,1.0331103757,-1.5620254884,0.6341000532,1.2275764753,11274.0000000000
22.5500000000,7.6310047123,-0.7246128064,1.3667566431,-3.6605533133,1.0331449452,0.0000000000,0.9411145909,1.0331449452,-1.5588854091,0.6327991293,1.2288675449,11275.0000000000
22.5520000000,7.6337289017,-0.7318860384,1.3574528556,-3.6127226607,1.0331339812,0.0000000000,0.9442156994,1.0331339812,-1.5557843006,0.6314833117,1.2301444922,11276.0000000000
22.5540000000,7.6364346041,-0.7390638724,1.3482695093,-3.5651550931,1.0330782679,0.0000000000,0.9472771844,1.0330782679,-1.5527228156,0.6301529080,1.2314068892,11277.0000000000
22.5560000000,7.6391220595,-0.7461468331,1.3392058008,-3.5178490039,1.0329785760,0.0000000000,0.9502984160,1.0329785760,-1.5497015840,0.6288082189,1.2326543213,11278.0000000000
22.5580000000,7.6417915064,-0.7531354415,1.3302607836,-3.4708024370,1.0328356620,0.0000000000,0.9532787870,1.0328356620,-1.5467212130,0.6274495379,1.2338863871,11279.0000000000
22.5600000000,7.6444431811,-0.7600302144,1.3214333788,-3.4240131184,1.0326502687,0.0000000000,0.9562177118,1.0326502687,-1.5437822882,0.6260771520,1.2351026979,11280.0000000000
22.5620000000,7.6470773175,-0.7668316637,1.3127223859,-3.3774784857,1.0324231251,0.0000000000,0.9591146253,1.0324231251,-1.5408853747,0.6246913412,1.2363028775,11281.0000000000
22.5640000000,7.6496941473,-0.7735402962,1.3041264927,-3.3311957154,1.0321549463,0.0000000000,0.9619689829,1.0321549463,-1.5380310171,0.6232923793,1.2374865614,11282.0000000000
22.5660000000,7.6522938993,-0.7801566125,1.2956442842,-3.2851617481,1.0318464337,0.0000000000,0.9647802591,1.0318464337,-1.5352197409,0.6218805336,1.2386533969,11283.0000000000
22.5680000000,7.6548767993,-0.7866811069,1.2872742513,-3.2393733118,1.0314982748,0.0000000000,0.9675479473,1.0314982748,-1.5324520527,0.6204560654,1.2398030425,11284.0000000000
22.5700000000,7.6574430700,-0.7931142671,1.2790147981,-3.1938269441,1.0311111437,0.0000000000,0.9702715587,1.0311111437,-1.5297284413,0.6190192298,1.2409351678,11285.0000000000
22.5720000000,7.6599929311,-0.7994565736,1.2708642502,-3.1485190114,1.0306857007,0.0000000000,0.9729506221,1.0306857007,-1.5270493779,0.6175702759,1.2420494525,11286.0000000000
22.5740000000,7.6625265985,-0.8057084996,1.2628208603,-3.1034457283,1.0302225929,0.0000000000,0.9755846831,1.0302225929,-1.5244153169,0.6161094471,1.2431455870,11287.0000000000
22.5760000000,7.6650442847,-0.8118705104,1.2548828153,-3.0586031742,1.0297224536,0.0000000000,0.9781733034,1.0297224536,-1.5218266966,0.6146369813,1.2442232714,11288.0000000000
22.5780000000,7.6675461987,-0.8179430634,1.2470482417,-3.0139873091,1.0291859031,0.0000000000,0.9807160605,1.0291859031,-1.5192839395,0.6131531106,1.2452822154,11289.0000000000
22.5800000000,7.6700325454,-0.8239266080,1.2393152110,-2.9695939886,1.0286135485,0.0000000000,0.9832125469,1.0286135485,-1.5167874531,0.6116580618,1.2463221380,11290.0000000000
22.5820000000,7.6725035259,-0.8298215849,1.2316817448,-2.9254189766,1.0280059836,0.0000000000,0.9856623696,1.0280059836,-1.5143376304,0.6101520567,1.2473427673,11291.0000000000
22.5840000000,7.6749593374,-0.8356284265,1.2241458191,-2.8814579581,1.0273637894,0.0000000000,0.9880651500,1.0273637894,-1.5119348500,0.6086353114,1.2483438401,11292.0000000000
22.5860000000,7.6774001728,-0.8413475565,1.2167053690,-2.8377065507,1.0266875340,0.0000000000,0.9904205227,1.0266875340,-1.5095794773,0.6071080375,1.2493251015,11293.0000000000
22.5880000000,7.6798262211,-0.8469793895,1.2093582920,-2.7941603143,1.0259777727,0.0000000000,0.9927281358,1.0259777727,-1.5072718642,0.6055704414,1.2502863051,11294.0000000000
22.5900000000,7.6822376668,-0.8525243315,1.2021024521,-2.7508147613,1.0252350482,0.0000000000,0.9949876498,1.0252350482,-1.5050123502,0.6040227247,1.2512272122,11295.0000000000
22.5920000000,7.6846346903,-0.8579827793,1.1949356829,-2.7076653650,1.0244598907,0.0000000000,0.9971987378,1.0244598907,-1.5028012622,0.6024650844,1.2521475920,11296.0000000000
22.5940000000,7.6870174675,-0.8633551207,1.1878557904,-2.6647075678,1.0236528180,0.0000000000,0.9993610846,1.0236528180,-1.5006389154,0.6008977128,1.2530472209,11297.0000000000
