t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
0.2300000000,4.7144899660,1.7770257033,0.2611540845,3.0982306146,0.9804786235,0.0000000000,3.2931711221,0.9804786235,0.7931711221,0.4981091611,3.3951428659,115.0000000000
0.2320000000,4.7150232800,1.7832426370,0.2722001475,3.1186820808,0.9795935255,0.0000000000,3.2865703300,0.9795935255,0.7865703300,0.4979233822,3.3917958395,116.0000000000
0.2340000000,4.7155789284,1.7895003478,0.2834889760,3.1390076688,0.9786723578,0.0000000000,3.2799173429,0.9786723578,0.7799173429,0.4977303282,3.3884221765,117.0000000000
0.2360000000,4.7161573997,1.7957985839,0.2950234827,3.1592075394,0.9777143640,0.0000000000,3.2732124793,0.9777143640,0.7732124793,0.4975298562,3.3850220192,118.0000000000
0.2380000000,4.7167591881,1.8021370942,0.3068066065,3.1792818558,0.9767187803,0.0000000000,3.2664560704,0.9767187803,0.7664560704,0.4973218225,3.3815955149,119.0000000000
0.2400000000,4.7173847938,1.8085156277,0.3188413121,3.1992307831,0.9756848350,0.0000000000,3.2596484595,0.9756848350,0.7596484595,0.4971060825,3.3781428156,120.0000000000
0.2420000000,4.7180347230,1.8149339339,0.3311305901,3.2190544876,0.9746117488,0.0000000000,3.2527900033,0.9746117488,0.7527900033,0.4968824902,3.3746640788,121.0000000000
0.2440000000,4.7187094879,1.8213917623,0.3436774564,3.2387531351,0.9734987347,0.0000000000,3.2458810717,0.9734987347,0.7458810717,0.4966508990,3.3711594669,122.0000000000
0.2460000000,4.7194096066,1.8278888631,0.3564849526,3.2583268911,0.9723449983,0.0000000000,3.2389220482,0.9723449983,0.7389220482,0.4964111612,3.3676291479,123.0000000000
0.2480000000,4.7201356035,1.8344249867,0.3695561451,3.2777759188,0.9711497371,0.0000000000,3.2319133305,0.9711497371,0.7319133305,0.4961631283,3.3640732951,124.0000000000
0.2500000000,4.7208880090,1.8409998838,0.3828941251,3.2971003789,0.9699121413,0.0000000000,3.2248553310,0.9699121413,0.7248553310,0.4959066508,3.3604920876,125.0000000000
0.2520000000,4.7216673599,1.8476133053,0.3965020082,3.3163004283,0.9686313934,0.0000000000,3.2177484768,0.9686313934,0.7177484768,0.4956415783,3.3568857100,126.0000000000
